location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
Afghanistan,5/26/2020,591,1,38928341,2.581,1803.987,0.5
Afghanistan,5/27/2020,658,1,38928341,2.581,1803.987,0.5
Afghanistan,5/28/2020,625,7,38928341,2.581,1803.987,0.5
Afghanistan,5/29/2020,580,8,38928341,2.581,1803.987,0.5
Afghanistan,5/30/2020,623,11,38928341,2.581,1803.987,0.5
Afghanistan,5/31/2020,866,3,38928341,2.581,1803.987,0.5
Afghanistan,6/1/2020,680,8,38928341,2.581,1803.987,0.5
Afghanistan,6/2/2020,545,8,38928341,2.581,1803.987,0.5
Afghanistan,6/3/2020,759,5,38928341,2.581,1803.987,0.5
Afghanistan,6/4/2020,758,24,38928341,2.581,1803.987,0.5
Afghanistan,6/5/2020,787,6,38928341,2.581,1803.987,0.5
Afghanistan,6/6/2020,915,9,38928341,2.581,1803.987,0.5
Afghanistan,6/7/2020,582,18,38928341,2.581,1803.987,0.5
Afghanistan,6/8/2020,791,30,38928341,2.581,1803.987,0.5
Afghanistan,6/9/2020,575,12,38928341,2.581,1803.987,0.5
Afghanistan,6/10/2020,542,15,38928341,2.581,1803.987,0.5
Albania,3/9/2020,2,0,2877800,13.188,11803.431,2.89
Albania,3/10/2020,4,0,2877800,13.188,11803.431,2.89
Albania,3/11/2020,4,0,2877800,13.188,11803.431,2.89
Albania,3/12/2020,1,1,2877800,13.188,11803.431,2.89
Albania,3/13/2020,12,0,2877800,13.188,11803.431,2.89
Albania,3/14/2020,10,0,2877800,13.188,11803.431,2.89
Albania,3/15/2020,5,0,2877800,13.188,11803.431,2.89
Albania,3/16/2020,4,0,2877800,13.188,11803.431,2.89
Albania,3/17/2020,9,0,2877800,13.188,11803.431,2.89
Albania,3/18/2020,4,0,2877800,13.188,11803.431,2.89
Albania,3/19/2020,4,1,2877800,13.188,11803.431,2.89
Albania,3/20/2020,11,0,2877800,13.188,11803.431,2.89
Albania,3/21/2020,0,0,2877800,13.188,11803.431,2.89
Albania,3/22/2020,6,0,2877800,13.188,11803.431,2.89
Albania,3/23/2020,13,0,2877800,13.188,11803.431,2.89
Albania,3/24/2020,11,2,2877800,13.188,11803.431,2.89
Albania,3/25/2020,23,1,2877800,13.188,11803.431,2.89
Albania,3/26/2020,23,0,2877800,13.188,11803.431,2.89
